Date,Open,High,Low,Close,Volume,Change
1993-09-14,46.3125,46.3125,46.09375,46.25,184500,-0.004037685060565276
1993-09-15,46.0625,46.40625,45.90625,46.375,101000,0.002702702702702703
1993-09-16,46.3125,46.34375,46.15625,46.1875,54300,-0.004043126684636119
1993-09-17,45.875,45.90625,45.75,45.8125,200900,-0.008119079837618403
1993-09-20,45.875,45.96875,45.4375,45.4375,57800,-0.008185538881309686
1993-09-21,45.5,45.5625,44.8125,45.28125,318200,-0.0034387895460797797
1993-09-22,45.4375,45.71875,45.375,45.65625,439700,0.008281573498964804
1993-09-23,45.78125,45.9375,45.71875,45.90625,88500,0.0054757015742642025
1993-09-24,45.84375,45.875,45.71875,45.78125,53500,-0.002722940776038121
1993-09-27,46.125,46.28125,46.125,46.28125,274600,0.010921501706484642
1993-09-28,46.3125,46.3125,46.15625,46.1875,158300,-0.002025658338960162
1993-09-29,46.1875,46.3125,45.96875,46.03125,221000,-0.0033829499323410014
1993-09-30,46.03125,46.125,45.84375,45.9375,99300,-0.002036659877800407
1993-10-01,45.875,46.21875,45.8125,46.15625,22700,0.004761904761904762
1993-10-04,46.21875,46.21875,46.09375,46.21875,1038500,0.0013540961408259986
1993-10-05,46.3125,46.3125,46.0,46.15625,436500,-0.001352265043948614
1993-10-06,46.1875,46.375,46.125,46.125,209200,-0.0006770480704129993
1993-10-07,46.1875,46.1875,45.96875,46.0,59400,-0.0027100271002710027
1993-10-08,46.125,46.15625,45.71875,46.0625,54400,0.001358695652173913
1993-10-11,46.15625,46.25,46.15625,46.15625,467100,0.0020352781546811396
1993-10-12,46.21875,46.25,46.1875,46.21875,26200,0.0013540961408259986
1993-10-13,46.25,46.25,46.15625,46.21875,139100,0.0
1993-10-14,46.40625,46.8125,46.28125,46.8125,108100,0.012846517917511832
1993-10-15,47.03125,47.15625,46.90625,47.0625,1502500,0.0053404539385847796
1993-10-18,47.03125,47.03125,46.875,46.9375,722400,-0.0026560424966799467
1993-10-19,46.875,46.96875,46.59375,46.59375,880100,-0.007323568575233023
1993-10-20,46.75,46.75,46.5625,46.65625,230400,0.0013413816230717639
1993-10-21,46.6875,46.6875,46.53125,46.59375,56200,-0.0013395847287340924
1993-10-22,46.65625,46.84375,46.375,46.375,390700,-0.004694835680751174
1993-10-25,46.40625,46.5625,46.28125,46.5,114500,0.0026954177897574125
1993-10-26,46.46875,46.5,46.3125,46.46875,186200,-0.0006720430107526882
1993-10-27,46.40625,46.53125,46.40625,46.5,118400,0.0006724949562878278
1993-10-28,46.5625,46.96875,46.5625,46.84375,129600,0.00739247311827957
1993-10-29,46.8125,46.875,46.78125,46.84375,80700,0.0
1993-11-01,46.78125,47.0,46.78125,46.96875,36400,0.00266844563042028
1993-11-02,46.90625,47.0,46.65625,46.9375,262100,-0.0006653359946773121
1993-11-03,46.90625,46.90625,46.125,46.34375,479100,-0.012649800266311585
1993-11-04,46.34375,46.34375,45.8125,45.84375,130400,-0.01078894133513149
